Adamanthian Scrivener	,	2	,	GOLD	,	73.0769	,	2014-10-10	,	13
Adamanthian Scrivener	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Adaptable Infusion Device	,	2	,	GOLD	,	99.6667	,	2014-10-10	,	3
Air Superiority	,	3	,	PLATINUM	,	19.0000	,	2014-10-10	,	1
Ambershire Instigator	,	3	,	GOLD	,	251.0000	,	2014-10-10	,	1
Angel of Dawn	,	6	,	PLATINUM	,	1525.8000	,	2014-10-10	,	5
Arcane Shield	,	3	,	GOLD	,	3333.3333	,	2014-10-10	,	3
Arena Brawler	,	2	,	GOLD	,	50.0000	,	2014-10-10	,	1
Ascetic Aspirant	,	4	,	PLATINUM	,	88.0000	,	2014-10-10	,	1
Assault Bot	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	2
Assault Bot	,	2	,	GOLD	,	108.5000	,	2014-10-10	,	2
Assault Technician	,	3	,	GOLD	,	445.6667	,	2014-10-10	,	3
Atrophy	,	2	,	GOLD	,	40.0000	,	2014-10-10	,	1
Avalanche Giant	,	3	,	GOLD	,	548.0000	,	2014-10-10	,	2
Axe Bot	,	2	,	GOLD	,	30.0000	,	2014-10-10	,	1
Baby Yeti	,	2	,	GOLD	,	91.6667	,	2014-10-10	,	3
Bird o' Plenty	,	4	,	GOLD	,	9500.0000	,	2014-10-10	,	1
Bird o' Plenty	,	4	,	PLATINUM	,	94.5000	,	2014-10-10	,	2
Blessing the Fallen	,	4	,	PLATINUM	,	86.7500	,	2014-10-10	,	4
Blessing the Fallen	,	4	,	GOLD	,	26999.0000	,	2014-10-10	,	1
Blinding Light	,	3	,	PLATINUM	,	14.5000	,	2014-10-10	,	2
Blinding Light	,	3	,	GOLD	,	2000.0000	,	2014-10-10	,	2
Blood Aura	,	2	,	GOLD	,	80.3889	,	2014-10-10	,	18
Blood Aura	,	2	,	PLATINUM	,	4.5000	,	2014-10-10	,	2
Blood Bearer	,	2	,	GOLD	,	54.9375	,	2014-10-10	,	16
Blood Bearer	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Blood Cauldron Ritualist	,	2	,	GOLD	,	69.3846	,	2014-10-10	,	13
Blood Savant	,	3	,	GOLD	,	556.0000	,	2014-10-10	,	2
Bloodcrazed Zealot	,	2	,	GOLD	,	10.0000	,	2014-10-10	,	1
Boltpaw Wizard	,	3	,	GOLD	,	1018.0000	,	2014-10-10	,	4
Boltpaw Wizard	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	3
Bombsmith	,	2	,	GOLD	,	60.0000	,	2014-10-10	,	2
Bone Warrior	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	2
Bone Warrior	,	3	,	GOLD	,	1350.2500	,	2014-10-10	,	4
Bottled Vitae	,	3	,	GOLD	,	1699.8000	,	2014-10-10	,	5
Bottled Vitae	,	3	,	PLATINUM	,	14.0000	,	2014-10-10	,	2
Boulder Brute	,	2	,	GOLD	,	28.0000	,	2014-10-10	,	5
Bravery	,	2	,	GOLD	,	40.0000	,	2014-10-10	,	2
Bravery	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	2
Briar Legion	,	2	,	GOLD	,	171.3333	,	2014-10-10	,	3
Briarpatch Conjuror	,	4	,	PLATINUM	,	89.5000	,	2014-10-10	,	4
Briarpatch Conjuror	,	4	,	GOLD	,	29999.0000	,	2014-10-10	,	2
Buccaneer	,	2	,	GOLD	,	100.0000	,	2014-10-10	,	5
Buccaneer	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Bucktooth Commander	,	3	,	GOLD	,	327.6667	,	2014-10-10	,	3
Bucktooth Commander	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	3
Burn	,	2	,	GOLD	,	253.7778	,	2014-10-10	,	9
Burn	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	1
Burn to the Ground	,	3	,	PLATINUM	,	19.0000	,	2014-10-10	,	2
Call the Grave	,	2	,	GOLD	,	70.0000	,	2014-10-10	,	4
Call the Grave	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	4
Captain of the Dragon Guard	,	2	,	GOLD	,	50.0000	,	2014-10-10	,	2
Carrion Blob	,	3	,	GOLD	,	112.0000	,	2014-10-10	,	1
Cavern Commando	,	2	,	GOLD	,	43.1667	,	2014-10-10	,	6
Cerulean Grand Strategist	,	3	,	PLATINUM	,	12.0000	,	2014-10-10	,	3
Cerulean Grand Strategist	,	3	,	GOLD	,	1899.0000	,	2014-10-10	,	1
Cerulean Mentalist	,	3	,	PLATINUM	,	20.6667	,	2014-10-10	,	6
Cerulean Mentalist	,	3	,	GOLD	,	3000.0000	,	2014-10-10	,	1
Cerulean Mirror Knight	,	4	,	PLATINUM	,	599.0000	,	2014-10-10	,	1
Chaos Key	,	4	,	PLATINUM	,	122.0000	,	2014-10-10	,	2
Charge Bot	,	2	,	GOLD	,	62.5000	,	2014-10-10	,	10
Chimera Guard Outrider	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	1
Chimera Guard Outrider	,	3	,	GOLD	,	301.0000	,	2014-10-10	,	1
Chimes of the Zodiac	,	4	,	PLATINUM	,	149.5000	,	2014-10-10	,	2
Chlorophyllia	,	3	,	PLATINUM	,	32.0000	,	2014-10-10	,	1
Chronic Madness	,	4	,	PLATINUM	,	245.0000	,	2014-10-10	,	1
Circle of Preservation	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	4
Claw of the Mountain God	,	4	,	PLATINUM	,	41.0000	,	2014-10-10	,	1
Clear Sky Stormcaller	,	3	,	GOLD	,	500.0000	,	2014-10-10	,	1
Cloud Titan	,	3	,	GOLD	,	2200.0000	,	2014-10-10	,	1
Comet Strike	,	6	,	GOLD	,	32000.0000	,	2014-10-10	,	1
Command Tower	,	3	,	GOLD	,	475.0000	,	2014-10-10	,	2
Concubunny	,	2	,	PLATINUM	,	4.0000	,	2014-10-10	,	10
Concubunny	,	2	,	GOLD	,	628.0000	,	2014-10-10	,	2
Construction Plans: Ingenuity Engine	,	4	,	PLATINUM	,	31.0000	,	2014-10-10	,	1
Construction Plans: Ingenuity Engine	,	4	,	GOLD	,	3990.0000	,	2014-10-10	,	1
Construction Plans: War Hulk	,	2	,	GOLD	,	50.0000	,	2014-10-10	,	3
Corrupt Harvester	,	3	,	GOLD	,	2500.0000	,	2014-10-10	,	2
Corrupt Harvester	,	3	,	PLATINUM	,	25.2000	,	2014-10-10	,	5
Corrupted Afterlife	,	3	,	GOLD	,	61.0000	,	2014-10-10	,	3
Corrupted Afterlife	,	3	,	PLATINUM	,	11.0000	,	2014-10-10	,	2
Cosmic Totem	,	3	,	GOLD	,	999.0000	,	2014-10-10	,	2
Cosmic Transmogrifier	,	6	,	PLATINUM	,	77.0000	,	2014-10-10	,	1
Cottontail Ronin	,	2	,	GOLD	,	324.5000	,	2014-10-10	,	2
